"Ticker","Nome","Negócios","Última (R$)","Variação"
"JHSF3","JHSF","2.293.300","5,38","-1,28%"
"ISAE4","ISA Energia","2.259.800","21,79","-1,49%"
"YDUQ3","YDUQS","2.235.100","13,00","-3,42%"
"TAEE11","Taesa","2.206.400","33,18","-1,16%"
"AZEV4","Azevedo & Travassos","2.174.900","0,58","+7,41%"
"MDNE3","Moura Dubeux","2.151.000","23,21","+0,43%"
"RAPT4","Randon","2.017.800","6,28","-2,64%"
"SRNA3","Serena Energia","2.005.000","11,98","-0,08%"
"CURY3","Cury","1.997.800","31,76","-1,37%"
"RECV3","PetroRecôncavo","1.983.100","12,74","-1,70%"
"ARML3","Armac","1.977.600","3,83","-0,52%"
"TEND3","Construtora Tenda","1.940.600","21,16","-3,56%"
"PDGR3","PDG Realty","1.875.100","0,17","-5,56%"
"ENJU3","Enjoei","1.828.000","1,00","-2,91%"
"EZTC3","EZTEC","1.810.200","14,49","-1,36%"
"PORT3","Wilson Sons","1.730.100","17,79","+0,17%"
"KLBN4","Klabin","1.722.600","3,61","-1,10%"
"GUAR3","Guararapes","1.706.100","8,26","-7,81%"
"AZEV3","Azevedo & Travassos","1.656.200","0,56","+7,69%"
"QUAL3","Qualicorp","1.616.400","1,73","-1,70%"
"TTEN3","3tentos","1.497.400","13,22","-1,64%"
"SAPR4","Sanepar","1.384.300","6,47","+0,78%"
"GRND3","Grendene","1.368.600","5,19","+1,17%"
"MILS3","Mills","1.314.300","12,25","+3,11%"
"EGIE3","Engie","1.309.800","39,21","-1,78%"
"DXCO3","Dexco","1.295.200","5,66","+0,00%"
"SAPR11","Sanepar","1.283.400","34,11","+1,79%"
"PLPL3","Plano&Plano","1.107.500","13,04","-0,61%"
"CAML3","Camil Alimentos","1.089.700","4,55","-2,15%"
"KEPL3","Kepler Weber","1.063.700","7,05","-0,70%"
"NEOE3","Neoenergia","1.050.300","26,67","-1,08%"
"VVEO3","Viveo","1.042.300","1,02","-2,86%"
"RCSL4","Recrusul","1.014.700","1,06","-0,93%"
"BRSR6","Banrisul","992.100","11,02","+0,82%"
"VULC3","Vulcabras","958.700","19,16","-2,19%"
"MYPK3","Iochpe-Maxion","954.000","14,08","+0,64%"
"MDIA3","M. Dias Branco","920.800","29,13","-0,58%"
"JALL3","Jalles Machado","919.500","3,04","-0,98%"
"MLAS3","Multilaser","903.100","1,05","-5,41%"
"ONCO3","Oncoclínicas","888.500","5,42","-1,09%"
"CPFE3","CPFL Energia","858.200","39,17","-0,96%"
"ZAMP3","Zamp","846.700","3,48","+0,00%"
"IRBR3","IRB Brasil RE","821.100","46,75","-0,64%"
"SYNE3","SYN","791.100","7,00","+0,43%"
"PGMN3","Pague Menos","783.400","3,68","-2,65%"
"FESA4","Ferbasa","741.400","6,27","-2,03%"
"PINE4","Banco Pine","737.900","6,20","+3,16%"
"MTRE3","Mitre Realty","732.700","3,33","-2,92%"
"POSI3","Positivo","716.100","4,15","+0,73%"
"WIZC3","Wiz Soluções","682.300","8,20","+0,99%"
"EVEN3","Even","677.700","7,03","+0,72%"
"ALLD3","Allied","663.400","9,10","+2,36%"
"IFCM3","Infracommerce","651.300","0,82","+2,50%"
"AMBP3","Ambipar","641.500","14,80","-2,25%"
"TFCO4","Track & Field","627.300","15,44","-0,39%"
"SEER3","Ser Educacional","604.200","8,85","-3,80%"
"TASA4","Taurus","580.800","4,84","+6,37%"
"RANI3","Irani","496.600","7,54","-1,44%"
"BMGB4","Banco BMG","430.600","3,61","+1,40%"
"TUPY3","Tupy","422.300","16,35","-3,82%"
"DASA3","Dasa","393.600","1,40","-2,78%"
"BRST3","Brisanet","382.000","2,70","+0,37%"
"ITUB3","Itaú Unibanco","358.500","33,74","-0,47%"
"FIQE3","Unifique","350.100","4,08","+0,74%"
"PTBL3","Portobello","348.100","3,64","-1,89%"
"MELK3","Melnick","344.300","3,41","+0,89%"
"SHUL4","Schulz","334.800","4,80","-2,04%"
"TRIS3","Trisul","327.900","6,48","-1,82%"
"MEAL3","IMC Alimentação","324.900","1,31","-3,68%"
"BMOB3","Bemobi","324.800","20,25","-0,20%"
"JSLG3","JSL","324.600","5,39","-1,28%"
"LAVV3","Lavvi Incorporadora","317.100","12,40","-1,59%"
"VLID3","Valid","312.000","20,75","+1,02%"
"PNVL3","Dimed","308.600","10,20","-0,58%"
"ORVR3","Orizon","303.400","48,05","-1,40%"
"KLBN3","Klabin","301.700","3,69","-0,81%"
"LEVE3","Mahle Metal Leve","287.500","27,31","-1,44%"
"SOJA3","Boa Safra Sementes","283.500","10,20","-1,64%"
"LOGG3","LOG CP","276.000","20,68","-0,86%"
"AMAR3","Lojas Marisa","273.600","1,24","-3,88%"
"BLAU3","Blau Farmacêutica","269.400","12,00","-2,12%"
"ABCB4","Banco ABC Brasil","264.000","21,74","-1,63%"
"GFSA3","Gafisa","260.100","14,65","-1,01%"
"TGMA3","Tegma","259.000","35,49","-1,42%"
